Id,LotFrontage,LotArea,BldgType1Fam,BldgType2fmCon,BldgTypeDuplex,BldgTypeTwnhs,BldgTypeTwnhsE,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,HeatingGasA,HeatingGasW,HeatingGrav,HeatingWall,CentralAirN,CentralAirY,GrLivArea,PoolArea,YrSold
1735,79,10625,1,0,0,0,0,5,4,2,1,8,1930,928,2,1,0,0,0,0,1,2144,0,2009
1736,68,13758,1,0,0,0,0,4,5,0,0,6,1994,2223,2,1,0,0,0,0,1,2087,0,2007
1737,70,11250,0,0,1,0,0,6,5,2,0,10,2009,720,4,1,0,0,0,0,1,1262,0,2008
1738,72,9084,0,0,1,0,0,4,5,1,1,8,1964,750,3,1,0,0,0,0,1,1056,0,2007
1739,78,19378,1,0,0,0,0,5,6,2,0,6,1965,684,3,1,0,0,0,0,1,1077,0,2009
1740,24,15865,1,0,0,0,0,5,5,2,0,6,1959,926,4,1,0,0,0,0,1,1100,0,2007
1741,65,12919,1,0,0,0,0,5,5,2,1,7,1966,1561,2,1,0,0,0,0,1,2110,0,2010
1742,90,8199,1,0,0,0,0,7,6,1,1,7,1953,868,2,1,0,0,0,0,1,912,0,2006
1743,,12677,1,0,0,0,0,7,5,2,1,6,2003,864,3,1,0,0,0,0,1,1620,0,2008
1744,,12589,1,0,0,0,0,6,5,2,0,5,2004,874,4,1,0,0,0,0,1,1484,0,2009
1745,52,8500,1,0,0,0,0,6,5,2,0,5,1900,864,2,1,0,0,0,0,1,1125,0,2010
1746,57,14442,1,0,0,0,0,7,5,2,1,10,2005,483,6,1,0,0,0,0,1,972,0,2008
1747,60,9200,1,0,0,0,0,4,5,1,0,6,1960,1340,3,1,0,0,0,0,1,747,0,2008
1748,52,7758,0,1,0,0,0,5,8,2,0,6,2003,1153,3,1,0,0,0,0,1,987,0,2007
1749,72,10395,1,0,0,0,0,8,5,2,0,5,1957,755,2,1,0,0,0,0,1,1060,0,2007
1750,95,13400,1,0,0,0,0,4,6,2,2,4,2004,1536,4,1,0,0,0,0,1,2084,0,2008
1751,,9906,1,0,0,0,0,5,5,1,1,4,1971,741,2,1,0,0,0,1,0,1709,0,2009
1752,121,9965,1,0,0,0,0,8,5,2,1,8,1969,572,3,1,0,0,0,0,1,1494,0,2008
1753,121,9022,1,0,0,0,0,7,5,2,0,5,1976,528,3,1,0,0,0,0,1,1442,0,2009
1754,75,11988,1,0,0,0,0,4,5,2,1,4,1936,953,3,1,0,0,0,0,1,1593,0,2006
1755,72,10628,0,0,0,0,1,5,5,1,0,5,1953,440,3,1,0,0,0,0,1,1768,0,2008
1756,40,6993,1,0,0,0,0,4,6,2,1,6,1976,1097,3,1,0,0,0,0,1,1060,0,2010
1757,52,8197,1,0,0,0,0,7,5,1,1,5,1940,1268,3,1,0,0,0,0,1,987,0,2007
1758,75,11120,1,0,0,0,0,5,7,1,1,8,1977,0,3,1,0,0,0,0,1,969,0,2008
1759,34,10084,1,0,0,0,0,7,5,2,0,5,1999,1643,2,1,0,0,0,0,1,1489,0,2008
1760,76,7922,1,0,0,0,0,5,5,3,0,9,1880,940,3,1,0,0,0,0,1,1474,0,2007
1761,,10440,1,0,0,0,0,7,5,1,1,7,1977,672,3,1,0,0,0,0,1,2872,0,2007
1762,72,7134,1,0,0,0,0,7,5,2,0,4,2004,876,3,1,0,0,0,0,1,1402,0,2010
1763,57,9675,1,0,0,0,0,5,7,1,1,6,2005,1088,3,1,0,0,0,0,1,2727,0,2007
1764,60,6930,0,0,0,0,1,7,5,2,0,7,1939,824,3,1,0,0,0,0,1,2520,0,2009
1765,55,7314,1,0,0,0,0,4,5,2,0,8,1930,1145,3,1,0,0,0,0,1,1479,0,2007
1766,76,10800,1,0,0,0,0,6,6,1,0,7,1977,0,3,1,0,0,0,0,1,1406,0,2007
1767,,4426,1,0,0,0,0,6,5,1,0,9,1977,967,2,1,0,0,0,1,0,901,0,2006
1768,34,8640,1,0,0,0,0,5,5,2,0,7,2005,1214,3,1,0,0,0,0,1,1719,0,2007
1769,110,12227,1,0,0,0,0,6,6,1,1,9,1921,817,4,0,0,1,0,0,1,1340,0,2009
1770,75,11885,1,0,0,0,0,5,7,0,0,6,2008,636,3,1,0,0,0,0,1,999,0,2009
1771,,9000,1,0,0,0,0,5,4,2,1,7,1920,728,4,1,0,0,0,0,1,1183,0,2008
1772,80,8450,0,1,0,0,0,5,7,1,1,7,1977,910,3,1,0,0,0,0,1,1928,0,2007
1773,75,13860,1,0,0,0,0,8,5,3,0,10,1964,1297,4,1,0,0,0,0,1,1720,0,2009
1774,65,9000,1,0,0,0,0,8,5,1,1,6,2005,1107,3,1,0,0,0,0,1,1344,0,2007
1775,82,14977,1,0,0,0,0,5,5,2,0,5,1999,680,2,1,0,0,0,0,1,1482,0,2008
1776,60,9636,1,0,0,0,0,4,4,1,1,6,2004,777,3,1,0,0,0,1,0,1734,0,2009
1777,,9750,1,0,0,0,0,5,6,1,0,7,1958,1440,3,1,0,0,0,0,1,1268,0,2007
1778,65,7252,1,0,0,0,0,7,5,2,0,8,1962,1140,2,1,0,0,0,0,1,1396,0,2006
1779,69,10500,1,0,0,0,0,7,5,2,1,6,1968,1337,3,1,0,0,0,0,1,1350,0,2006
1780,59,3500,1,0,0,0,0,5,5,2,0,9,1999,755,3,1,0,0,0,1,0,747,0,2007
1781,81,8163,1,0,0,0,0,5,4,2,0,6,2002,1566,3,1,0,0,0,0,1,1634,0,2007
1782,78,11302,1,0,0,0,0,6,5,3,0,6,1972,811,5,1,0,0,0,0,1,2291,0,2007
1783,60,12342,1,0,0,0,0,5,5,2,1,4,2004,761,3,1,0,0,0,0,1,1944,0,2006
1784,34,2280,1,0,0,0,0,9,5,2,0,4,2005,789,2,1,0,0,0,0,1,1775,0,2007
1785,85,8410,1,0,0,0,0,6,7,2,1,6,1961,1704,3,1,0,0,0,0,1,1369,0,2009
1786,88,11096,1,0,0,0,0,5,7,2,1,5,1958,630,3,1,0,0,0,0,1,1478,0,2007
1787,,9588,1,0,0,0,0,5,5,2,0,5,1988,1252,3,1,0,0,0,0,1,1111,0,2006
1788,64,8200,1,0,0,0,0,8,5,1,1,8,1928,720,3,1,0,0,0,0,1,1710,0,2006
1789,,8877,1,0,0,0,0,6,5,1,1,8,2004,1713,3,1,0,0,0,0,1,1636,0,2006
1790,,4058,1,0,0,0,0,6,5,1,0,4,1998,1763,3,1,0,0,0,0,1,1314,0,2007
1791,75,11250,1,0,0,0,0,7,6,2,0,5,2009,1262,0,1,0,0,0,0,1,1198,0,2007
1792,53,2289,0,1,0,0,0,6,5,2,0,6,1959,649,3,1,0,0,0,0,1,1144,0,2010
1793,65,12474,1,0,0,0,0,4,6,2,1,7,2003,856,4,1,0,0,0,0,1,2713,0,2007
1794,69,9453,1,0,0,0,0,7,6,1,0,6,1972,969,4,1,0,0,0,0,1,1077,0,2009
1795,,7560,1,0,0,0,0,6,6,2,1,7,1922,970,5,1,0,0,0,0,1,2138,0,2006
1796,80,10382,1,0,0,0,0,6,5,1,0,7,1953,1210,2,1,0,0,0,0,1,1716,0,2010
1797,100,7931,1,0,0,0,0,6,5,1,0,5,1970,1113,2,1,0,0,0,0,1,1950,0,2006
1798,80,8462,1,0,0,0,0,7,5,1,0,8,1996,1116,3,1,0,0,0,0,1,987,0,2006
1799,,27650,1,0,0,0,0,6,5,2,0,7,1993,0,4,1,0,0,0,0,1,864,0,2008
1800,80,8450,1,0,0,0,0,5,7,1,0,3,1923,1208,3,1,0,0,0,0,1,1400,0,2009
1801,63,9830,1,0,0,0,0,7,5,1,0,7,1931,864,2,1,0,0,0,0,1,1109,0,2008
1802,60,14859,1,0,0,0,0,8,7,1,0,4,1947,1728,3,1,0,0,0,0,1,1306,0,2007
1803,85,11194,1,0,0,0,0,4,7,2,0,6,1999,1713,2,1,0,0,0,0,1,1800,0,2007
1804,52,53227,1,0,0,0,0,6,5,2,0,9,1974,847,3,1,0,0,0,0,1,1140,0,2008
1805,73,7200,1,0,0,0,0,6,5,1,0,7,1972,1145,4,1,0,0,0,0,1,2624,0,2010
1806,110,12919,1,0,0,0,0,5,5,2,1,7,1963,1869,6,1,0,0,0,0,1,1067,0,2010
1807,84,15426,1,0,0,0,0,6,5,1,1,10,1986,1362,3,1,0,0,0,0,1,864,0,2006
1808,100,13125,1,0,0,0,0,5,5,1,1,5,2002,1379,3,1,0,0,0,0,1,1479,0,2008
1809,75,17120,1,0,0,0,0,7,5,2,0,7,1963,1413,3,1,0,0,0,0,1,1008,0,2009
1810,80,10667,1,0,0,0,0,5,5,2,0,7,1918,811,3,1,0,0,0,0,1,1566,0,2008
1811,80,14200,1,0,0,0,0,7,5,1,0,7,1954,894,3,1,0,0,0,0,1,2236,0,2008
1812,60,9591,1,0,0,0,0,6,5,1,0,7,2007,1128,3,1,0,0,0,0,1,789,0,2008
1813,75,1300,1,0,0,0,0,5,5,2,1,8,1923,1152,3,1,0,0,0,0,1,1214,0,2009
1814,21,1936,1,0,0,0,0,5,5,2,0,9,2005,0,3,1,0,0,0,0,1,864,0,2007
1815,98,12800,1,0,0,0,0,4,7,3,1,5,1948,1800,3,1,0,0,0,0,1,1092,0,2008
1816,91,6911,1,0,0,0,0,5,5,2,0,6,1969,1017,3,1,0,0,0,0,1,729,0,2009
1817,57,5400,1,0,0,0,0,8,5,2,0,7,1948,1434,3,1,0,0,0,0,1,1768,0,2009
1818,60,7685,1,0,0,0,0,5,5,2,1,5,1941,1360,3,1,0,0,0,0,1,1428,0,2006
1819,60,1680,1,0,0,0,0,5,7,1,1,6,2010,864,3,1,0,0,0,0,1,1960,0,2006
1820,,7056,1,0,0,0,0,5,5,1,1,3,1998,910,3,1,0,0,0,0,1,971,0,2006
1821,78,7060,0,0,0,1,0,6,5,2,1,5,1966,936,2,1,0,0,0,1,0,1768,0,2006
1822,42,10382,1,0,0,0,0,6,5,1,1,8,2006,756,3,1,0,0,0,0,1,864,0,2008
1823,21,8795,1,0,0,0,0,6,5,2,1,7,1930,608,2,1,0,0,0,0,1,1196,0,2009
1824,90,7200,1,0,0,0,0,5,6,1,0,5,1959,689,3,1,0,0,0,0,1,2531,0,2006
1825,95,9750,1,0,0,0,0,7,5,2,0,8,1977,626,6,1,0,0,0,0,1,1440,0,2006
1826,76,9937,0,0,0,1,0,4,5,2,0,5,2000,1478,2,1,0,0,0,0,1,2704,0,2009
1827,60,10440,1,0,0,0,0,8,5,2,0,9,1993,1580,3,1,0,0,0,0,1,2057,0,2008
1828,65,9150,1,0,0,0,0,5,5,2,0,7,1928,832,2,1,0,0,0,0,1,2008,0,2009
1829,128,8450,0,0,1,0,0,8,5,1,0,6,1925,1477,3,1,0,0,0,0,1,2353,0,2010
1830,24,11844,1,0,0,0,0,7,5,1,0,4,2009,630,3,1,0,0,0,0,1,1159,0,2006
1831,34,11645,1,0,0,0,0,5,9,2,0,5,2003,1362,2,1,0,0,0,0,1,912,0,2006
1832,98,7252,1,0,0,0,0,7,5,3,1,10,1946,1410,4,1,0,0,0,1,0,1786,0,2008
1833,52,8640,1,0,0,0,0,6,5,1,0,6,2007,1486,3,1,0,0,0,0,1,1453,0,2009
1834,,18386,0,0,0,0,1,6,6,2,0,7,1931,483,3,1,0,0,0,0,1,1126,0,2009
1835,,12803,1,0,0,0,0,6,5,1,1,7,1982,616,3,1,0,0,0,1,0,1086,0,2006
1836,65,8521,1,0,0,0,0,5,5,1,1,8,1919,908,2,1,0,0,0,0,1,1776,0,2010
1837,32,15750,1,0,0,0,0,4,5,2,1,7,1925,0,2,1,0,0,0,0,1,1617,0,2009
1838,85,8472,1,0,0,0,0,7,7,2,1,7,2007,612,3,1,0,0,0,0,1,1554,0,2007
1839,,53504,1,0,0,0,0,8,6,2,1,6,1967,735,3,1,0,0,0,0,1,1442,0,2008
1840,78,11096,1,0,0,0,0,7,7,1,0,10,2003,1442,4,1,0,0,0,0,1,1456,0,2008
1841,50,9600,1,0,0,0,0,7,5,2,1,6,1951,901,4,1,0,0,0,0,1,789,0,2006
1842,85,8450,1,0,0,0,0,5,7,1,0,7,2004,940,5,1,0,0,0,0,1,1224,0,2008
1843,,7301,1,0,0,0,0,9,7,2,0,4,2003,1425,3,1,0,0,0,0,1,1709,0,2010
1844,82,7050,1,0,0,0,0,4,7,1,1,7,1977,1200,1,1,0,0,0,0,1,924,0,2007
1845,84,9375,0,1,0,0,0,7,5,2,0,5,1936,0,3,0,1,0,0,0,1,1496,0,2010
1846,50,4750,1,0,0,0,0,6,4,2,0,8,2003,915,4,1,0,0,0,1,0,943,0,2006
1847,52,7200,1,0,0,0,0,7,4,2,0,10,2005,1092,2,1,0,0,0,0,1,672,0,2006
1848,70,8012,0,0,0,0,1,5,6,2,0,11,1959,648,3,1,0,0,0,0,1,1203,0,2008
1849,60,10005,1,0,0,0,0,7,7,2,0,5,1927,1067,3,1,0,0,0,1,0,1616,0,2009
1850,55,8199,1,0,0,0,0,6,5,1,0,4,1955,896,3,1,0,0,0,0,1,1324,0,2006
1851,51,12438,1,0,0,0,0,8,6,2,0,6,1882,660,3,1,0,0,0,0,1,990,0,2010
1852,60,3180,1,0,0,0,0,6,5,1,0,6,1974,1408,3,1,0,0,0,0,1,1694,0,2007
1853,,7560,1,0,0,0,0,5,7,2,0,8,2007,728,3,1,0,0,0,0,1,848,0,2006
1854,78,8755,1,0,0,0,0,6,5,1,0,8,1979,1273,3,1,0,0,0,0,1,1328,0,2008
1855,50,10440,1,0,0,0,0,5,5,2,1,6,1969,970,2,1,0,0,0,1,0,1224,0,2006
1856,78,12003,1,0,0,0,0,5,7,1,1,4,1969,715,5,1,0,0,0,0,1,1573,0,2009
1857,128,13400,1,0,0,0,0,7,5,2,0,8,1994,768,3,1,0,0,0,0,1,848,0,2009
1858,21,8816,1,0,0,0,0,8,8,2,0,4,1941,735,2,1,0,0,0,0,1,1968,0,2007
1859,,10500,1,0,0,0,0,6,6,2,0,5,1952,560,1,1,0,0,0,0,1,1582,0,2006
1860,121,7800,1,0,0,0,0,6,5,1,1,7,1961,1440,3,1,0,0,0,0,1,1363,0,2006
1861,40,11250,1,0,0,0,0,5,6,3,0,5,1936,660,2,1,0,0,0,1,0,1386,0,2006
1862,88,11787,1,0,0,0,0,8,7,1,0,5,1972,1372,2,1,0,0,0,0,1,999,0,2009
1863,174,13811,0,1,0,0,0,6,5,2,1,7,1953,778,3,1,0,0,0,0,1,1710,0,2006
1864,77,10628,0,0,0,0,1,9,5,2,0,7,1916,1134,3,1,0,0,0,0,1,2153,0,2010
1865,,9786,1,0,0,0,0,5,7,2,0,7,1953,855,3,1,0,0,0,0,1,1709,0,2008
1866,60,9786,1,0,0,0,0,6,5,2,1,5,2001,616,2,1,0,0,0,0,1,1479,0,2009
1867,50,11120,1,0,0,0,0,5,8,2,0,8,1972,774,3,1,0,0,0,0,1,1368,0,2009
1868,90,3600,1,0,0,0,0,8,5,1,0,6,1988,855,3,1,0,0,0,0,1,1500,0,2007
1869,21,8235,1,0,0,0,0,5,4,1,0,5,1997,912,2,1,0,0,0,0,1,672,0,2006
1870,68,8973,1,0,0,0,0,5,6,2,1,6,2004,864,3,1,0,0,0,0,1,1494,0,2007
1871,58,11120,1,0,0,0,0,7,7,2,0,7,1977,816,3,1,0,0,0,1,0,1216,0,2007
1872,61,10542,1,0,0,0,0,5,5,0,0,8,1900,1311,4,1,0,0,0,0,1,1198,0,2010
1873,60,4274,1,0,0,0,0,4,5,1,0,7,1972,1425,4,1,0,0,0,0,1,1040,0,2009
1874,79,12384,1,0,0,0,0,5,9,2,1,4,2006,1143,3,0,1,0,0,0,1,1429,0,2009
1875,75,9200,1,0,0,0,0,6,5,2,0,7,2000,1417,3,1,0,0,0,0,1,2504,0,2009
1876,120,8633,1,0,0,0,0,6,6,2,0,11,1979,1501,2,1,0,0,0,0,1,1484,0,2008
1877,72,7153,1,0,0,0,0,10,6,1,0,6,2006,1360,1,1,0,0,0,0,1,1428,0,2009
1878,,10106,1,0,0,0,0,5,7,2,0,8,2003,1126,1,1,0,0,0,0,1,2020,0,2008
1879,,10386,1,0,0,0,0,5,8,1,0,5,1958,1566,2,1,0,0,0,0,1,1939,0,2006
1880,75,8846,1,0,0,0,0,7,5,2,1,6,1999,912,3,1,0,0,0,0,1,1535,0,2007
1881,70,9672,1,0,0,0,0,7,8,2,0,4,2008,780,3,1,0,0,0,0,1,1686,0,2009
1882,,6300,1,0,0,0,0,4,6,1,1,4,1962,676,3,1,0,0,0,1,0,990,0,2010
1883,85,164660,1,0,0,0,0,6,5,2,1,8,1958,616,3,1,0,0,0,0,1,1362,0,2007
1884,89,5000,1,0,0,0,0,7,6,1,1,4,1940,1090,2,1,0,0,0,0,1,1372,0,2007
1885,,9180,0,0,0,1,0,8,6,1,0,9,1950,1070,4,1,0,0,0,0,1,1786,0,2006
1886,65,9571,1,0,0,0,0,8,6,1,0,4,1965,1522,2,1,0,0,0,0,1,2353,0,2008
1887,75,9790,1,0,0,0,0,6,6,2,1,7,1910,1073,3,1,0,0,0,0,1,1710,0,2009
1888,73,6000,0,0,0,0,1,5,5,2,0,10,1931,780,3,1,0,0,0,0,1,999,0,2007
1889,,11249,1,0,0,0,0,5,5,1,1,4,1971,1078,4,1,0,0,0,0,1,960,0,2008
1890,88,5000,1,0,0,0,0,5,6,2,0,7,1995,1489,4,1,0,0,0,0,1,1372,0,2007
1891,80,9549,0,0,0,0,1,5,7,2,0,5,1885,1417,3,1,0,0,0,1,0,789,0,2009
1892,98,10625,1,0,0,0,0,7,5,1,0,7,1963,1138,2,1,0,0,0,1,0,1137,0,2007
1893,110,11228,1,0,0,0,0,7,5,1,1,8,1966,1396,3,1,0,0,0,0,1,630,0,2008
1894,,5232,0,0,0,0,1,6,8,2,0,7,1970,728,3,1,0,0,0,0,1,1573,0,2007
1895,60,16059,0,1,0,0,0,5,6,1,1,5,1951,864,4,1,0,0,0,0,1,1148,0,2009
1896,63,10800,1,0,0,0,0,6,5,1,0,5,2003,912,3,1,0,0,0,0,1,1114,0,2008
1897,,12144,1,0,0,0,0,5,5,1,0,5,1970,882,3,1,0,0,0,0,1,1456,0,2009
1898,60,9920,1,0,0,0,0,5,3,2,1,9,1982,1234,3,1,0,0,0,0,1,2418,0,2006
1899,60,13101,1,0,0,0,0,6,5,1,0,7,1997,630,2,1,0,0,0,0,1,1096,0,2006
1900,60,8712,1,0,0,0,0,6,7,1,0,6,2004,440,3,1,0,0,0,1,0,1635,0,2009
1901,,4750,0,1,0,0,0,6,6,1,0,9,2003,832,3,1,0,0,0,0,1,912,0,2009
1902,55,9600,1,0,0,0,0,4,5,2,1,6,1920,1869,3,1,0,0,0,0,1,1512,0,2007
1903,60,9600,1,0,0,0,0,4,5,2,0,10,1949,1720,3,1,0,0,0,0,1,1775,0,2009
1904,58,12205,1,0,0,0,0,5,5,2,0,6,2007,912,2,1,0,0,0,0,1,848,0,2009
1905,50,21535,1,0,0,0,0,1,5,1,2,5,1910,1848,2,1,0,0,0,0,1,816,0,2008
1906,80,8640,1,0,0,0,0,7,5,1,1,8,1970,770,4,1,0,0,0,0,1,1638,0,2007
1907,70,7590,1,0,0,0,0,7,6,2,1,6,1971,1040,3,1,0,0,0,0,1,1701,0,2006
1908,90,10386,1,0,0,0,0,6,5,2,1,5,1971,798,4,1,0,0,0,1,0,864,0,2007
1909,60,11198,1,0,0,0,0,6,6,2,0,5,1965,880,3,1,0,0,0,0,1,1053,0,2008
1910,66,7200,1,0,0,0,0,4,6,2,1,6,1999,848,3,1,0,0,0,0,1,928,0,2009
1911,85,3982,1,0,0,0,0,6,5,1,0,6,1940,1164,3,1,0,0,0,0,1,1969,0,2007
1912,110,13651,1,0,0,0,0,5,7,2,1,5,1976,1176,3,1,0,0,0,0,1,1453,0,2008
1913,77,9000,0,0,0,0,1,6,5,1,0,9,2006,952,4,1,0,0,0,0,1,789,0,2008
1914,60,12394,1,0,0,0,0,6,5,2,0,6,1999,764,4,1,0,0,0,0,1,1152,0,2008
1915,65,7018,1,0,0,0,0,7,7,1,0,6,2003,1063,4,1,0,0,0,1,0,1432,0,2007
1916,60,13500,1,0,0,0,0,6,7,2,1,10,2005,672,4,1,0,0,0,0,1,928,0,2008
1917,,9480,1,0,0,0,0,5,6,1,0,6,1982,1188,4,1,0,0,0,0,1,1498,0,2008
1918,80,8410,1,0,0,0,0,6,7,2,0,5,1986,1926,3,1,0,0,0,0,1,1680,0,2009
1919,84,8960,1,0,0,0,0,4,5,2,0,8,1996,888,3,1,0,0,0,0,1,1472,0,2008
1920,,8737,1,0,0,0,0,6,5,2,1,7,1966,1161,2,1,0,0,0,0,1,1348,0,2009
1921,80,7200,0,0,1,0,0,9,5,1,1,7,1930,1602,3,1,0,0,0,0,1,1869,0,2008
1922,40,16770,1,0,0,0,0,6,5,2,0,7,1958,1368,4,1,0,0,0,0,1,902,0,2007
1923,111,6155,1,0,0,0,0,5,5,1,0,6,2004,1442,3,1,0,0,0,0,1,1217,0,2007
1924,91,4712,1,0,0,0,0,5,6,1,0,7,2004,1153,3,1,0,0,0,0,1,988,0,2007
1925,80,11049,1,0,0,0,0,4,6,2,1,7,2006,1273,2,1,0,0,0,1,0,2267,0,2009
1926,66,9571,1,0,0,0,0,5,6,2,1,7,1959,1440,2,1,0,0,0,0,1,1555,0,2007
1927,90,10300,1,0,0,0,0,6,5,1,0,5,1953,1584,4,1,0,0,0,0,1,1919,0,2009
1928,41,12327,1,0,0,0,0,8,5,1,0,6,1998,777,3,1,0,0,0,0,1,1688,0,2008
1929,,12640,1,0,0,0,0,7,5,2,1,8,1983,1728,3,1,0,0,0,0,1,938,0,2006
1930,60,7945,1,0,0,0,0,5,5,2,1,6,2004,784,3,1,0,0,0,0,1,1416,0,2007
1931,76,7050,1,0,0,0,0,9,4,1,1,6,1958,740,3,1,0,0,0,0,1,1196,0,2006
1932,84,10140,1,0,0,0,0,5,5,2,0,5,1960,1478,3,1,0,0,0,0,1,1324,0,2009
1933,,10859,1,0,0,0,0,8,7,1,1,6,1955,1868,3,1,0,0,0,0,1,1026,0,2008
1934,74,12327,1,0,0,0,0,5,6,1,0,11,1980,3094,3,1,0,0,0,0,1,1501,0,2009
1935,,4928,0,0,0,0,1,5,5,1,1,7,1962,864,2,1,0,0,0,0,1,2080,0,2006
1936,101,2280,1,0,0,0,0,6,5,2,0,6,1975,780,2,1,0,0,0,0,1,1620,0,2010
1937,,24090,1,0,0,0,0,6,5,1,1,6,1993,768,3,1,0,0,0,0,1,1960,0,2007
1938,70,9600,1,0,0,0,0,5,2,1,0,9,1992,1158,3,1,0,0,0,0,1,1554,0,2010
1939,50,8472,1,0,0,0,0,5,5,2,0,9,1977,1568,3,1,0,0,0,0,1,1935,0,2008
1940,57,10593,1,0,0,0,0,8,6,3,1,4,1982,483,2,1,0,0,0,0,1,2775,0,2006
1941,74,10355,1,0,0,0,0,5,5,2,0,8,1968,485,4,1,0,0,0,0,1,2046,0,2009
1942,60,8544,1,0,0,0,0,7,4,1,0,4,1954,624,3,1,0,0,0,0,1,1131,0,2009
1943,70,6120,1,0,0,0,0,7,5,2,0,5,2006,1088,3,1,0,0,0,0,1,864,0,2009
1944,65,9430,0,1,0,0,0,7,5,2,0,6,1979,689,2,1,0,0,0,0,1,1425,0,2009
1945,,10896,1,0,0,0,0,6,5,2,0,7,1997,3094,2,1,0,0,0,0,1,894,0,2006
1946,59,5105,1,0,0,0,0,6,5,1,0,6,2004,832,2,1,0,0,0,0,1,1060,0,2007
1947,57,11040,1,0,0,0,0,7,5,1,0,5,1972,1013,3,1,0,0,0,0,1,1548,0,2009
1948,50,39104,1,0,0,0,0,5,5,1,1,6,1945,848,2,1,0,0,0,0,1,1319,0,2010
1949,80,7931,0,1,0,0,0,7,5,2,0,5,1955,1208,3,1,0,0,0,0,1,1376,0,2006
1950,78,16059,0,0,1,0,0,9,5,2,0,7,2005,764,3,1,0,0,0,0,1,2113,0,2008
1951,70,5784,0,0,0,1,0,7,6,2,1,6,1995,561,3,1,0,0,0,0,1,1414,0,2009
1952,,12798,1,0,0,0,0,7,7,1,0,6,1975,1340,3,1,0,0,0,0,1,1178,512,2008
1953,21,7750,0,0,0,0,1,7,5,1,0,7,1989,1686,3,1,0,0,0,1,0,1456,0,2006
1954,40,7758,1,0,0,0,0,5,4,2,0,6,1978,1202,2,1,0,0,0,0,1,630,0,2006
1955,80,8197,1,0,0,0,0,6,5,2,0,5,1936,950,1,0,1,0,0,1,0,1159,0,2008
1956,74,2572,1,0,0,0,0,6,6,1,1,7,1997,864,4,1,0,0,0,0,1,1304,0,2008
1957,60,9100,1,0,0,0,0,6,5,2,0,8,1995,1080,2,1,0,0,0,0,1,848,0,2008
1958,110,8450,1,0,0,0,0,5,5,1,0,5,2001,1021,4,1,0,0,0,0,1,1688,0,2007
1959,60,9549,1,0,0,0,0,5,5,2,0,6,2007,1088,3,1,0,0,0,0,1,884,0,2006
1960,60,9855,0,0,0,1,0,6,5,1,0,8,2003,1800,2,1,0,0,0,0,1,1682,0,2006
1961,85,12665,1,0,0,0,0,6,5,2,1,7,2005,1800,3,1,0,0,0,0,1,1430,0,2008
1962,100,8777,0,0,0,0,1,7,5,1,0,4,1924,939,2,1,0,0,0,0,1,2046,0,2009
1963,,9416,1,0,0,0,0,5,5,1,0,6,1970,1461,3,1,0,0,0,0,1,1518,0,2009
1964,61,11988,1,0,0,0,0,5,5,2,0,5,1969,440,3,1,0,0,0,0,1,1472,0,2008
1965,85,5062,1,0,0,0,0,7,6,2,1,7,1970,2078,3,1,0,0,0,0,1,1674,0,2006
1966,90,7800,1,0,0,0,0,8,6,2,0,5,1966,770,3,1,0,0,0,0,1,1391,0,2008
1967,65,9000,1,0,0,0,0,6,5,2,0,5,1930,1214,3,1,0,0,0,1,0,1069,0,2009
1968,70,1680,1,0,0,0,0,7,5,2,0,6,1983,1425,4,1,0,0,0,0,1,1842,0,2007
1969,66,14215,1,0,0,0,0,7,5,2,0,7,2001,880,3,1,0,0,0,0,1,1294,0,2009
1970,30,215245,1,0,0,0,0,7,4,2,0,6,1964,1200,4,1,0,0,0,0,1,1322,0,2010
1971,,8760,1,0,0,0,0,6,5,2,0,8,2000,1604,2,1,0,0,0,0,1,1968,0,2008
1972,78,10200,1,0,0,0,0,5,8,1,1,6,2002,1299,3,1,0,0,0,0,1,866,0,2009
1973,68,8405,1,0,0,0,0,7,5,2,0,7,1950,1670,3,1,0,0,0,0,1,1040,0,2007
1974,,11764,1,0,0,0,0,5,6,2,0,6,1939,910,3,1,0,0,0,0,1,1482,0,2009
1975,,7642,1,0,0,0,0,6,8,2,1,6,1988,738,1,1,0,0,0,0,1,827,0,2008
1976,98,10197,1,0,0,0,0,8,6,2,0,5,2003,998,4,0,1,0,0,0,1,1212,0,2008
1977,34,14948,1,0,0,0,0,5,6,2,0,5,1958,848,2,1,0,0,0,0,1,912,0,2008
1978,,11600,0,0,1,0,0,1,5,1,1,9,1958,1050,2,1,0,0,0,0,1,840,0,2006
1979,,10655,0,0,0,0,1,7,5,2,1,5,1971,796,2,1,0,0,0,1,0,1422,0,2006
1980,63,7226,1,0,0,0,0,8,6,2,1,5,2004,996,2,1,0,0,0,0,1,1919,0,2008
1981,,1920,1,0,0,0,0,5,5,1,0,8,1978,1158,3,1,0,0,0,0,1,1734,0,2008
1982,73,12327,1,0,0,0,0,5,5,2,0,5,1921,576,2,1,0,0,0,0,1,900,0,2006
1983,88,7590,1,0,0,0,0,9,6,1,1,8,1920,880,3,1,0,0,0,0,1,2234,0,2007
1984,,6000,1,0,0,0,0,8,7,1,0,9,1946,1350,3,1,0,0,0,0,1,1123,0,2010
